Timestamp,What is your age group?,What's your Gender ?,What is your primary method of payment for daily personal expenses? ,"On average, how much money (in EGP) do you spend daily on non-essential items (e.g., coffee, snacks, entertainment)? ","How many times per week do you typically make an ""Emergent purchase"" (buying something you did not plan to buy)? ",How often do you actively track your daily spending? ,"In your personal experience, do you feel you spend more freely when using digital payment methods compared to using physical cash? ","How many active paid monthly subscriptions do you currently have (e.g., Netflix, Spotify, Gym, Anghami)? ",What makes you choose to pay with physical CASH over digital methods? ,"What makes you choose to pay with DIGITAL methods (Cards, E-Wallets) over cash? "
2026/04/05 7:04:52 PM GMT+2,Under 18,Male,Debit/Credit Card,50 – 100 EGP,1 – 2 times,Never,"No, I spend more with physical cash",3 – 4 subscriptions,Safer from online fraud or hacking,Safer than carrying around large amounts of physical money
2026/04/05 7:04:53 PM GMT+2,Under 18,Male,Debit/Credit Card,50 – 100 EGP,1 – 2 times,Never,"No, I spend more with physical cash",3 – 4 subscriptions,Safer from online fraud or hacking,Safer than carrying around large amounts of physical money
2026/04/05 7:04:55 PM GMT+2,Under 18,Male,Debit/Credit Card,50 – 100 EGP,1 – 2 times,Never,"No, I spend more with physical cash",3 – 4 subscriptions,Safer from online fraud or hacking,Safer than carrying around large amounts of physical money
2026/04/05 7:04:57 PM GMT+2,Under 18,Male,Debit/Credit Card,50 – 100 EGP,1 – 2 times,Never,"No, I spend more with physical cash",3 – 4 subscriptions,Safer from online fraud or hacking,Safer than carrying around large amounts of physical money
2026/04/05 7:04:58 PM GMT+2,Under 18,Male,Debit/Credit Card,50 – 100 EGP,1 – 2 times,Never,"No, I spend more with physical cash",3 – 4 subscriptions,Safer from online fraud or hacking,Safer than carrying around large amounts of physical money
2026/04/05 8:16:30 PM GMT+2,18–24,Male,Cash,50 – 100 EGP,1 – 2 times,Always,I spend about the same either way,0 (None),Helps me physically see what I am spending (better budget control);No extra transaction fees or hidden taxes;Safer from online fraud or hacking,More convenient and faster (no need to count change);I often don't have enough physical cash on me
2026/04/05 8:50:11 PM GMT+2,18–24,Male,Cash,101 – 200 EGP,1 – 2 times,Always,"No, I spend more with physical cash",0 (None),Helps me physically see what I am spending (better budget control),More convenient and faster (no need to count change)
2026/04/05 10:52:48 PM GMT+2,18–24,Male,Debit/Credit Card,More than 300 EGP,5 or more times,Always,"Yes, I spend more digitally",5 or more subscriptions,Helps me physically see what I am spending (better budget control);Accepted everywhere (including small kiosks and street vendors);No extra transaction fees or hidden taxes;Safer from online fraud or hacking,"More convenient and faster (no need to count change);Safer than carrying around large amounts of physical money;The app automatically tracks my expenses for me;Offers rewards, discounts, or cashback points"
2026/04/06 6:54:08 PM GMT+2,18–24,Male,Cash,50 – 100 EGP,1 – 2 times,Sometimes,"No, I spend more with physical cash",1 – 2 subscriptions,Helps me physically see what I am spending (better budget control),More convenient and faster (no need to count change)
2026/04/06 6:54:34 PM GMT+2,18–24,Male,Cash,Less than 50 EGP,1 – 2 times,Sometimes,"No, I spend more with physical cash",3 – 4 subscriptions,Out of habit / I am just used to it,"More convenient and faster (no need to count change);Safer than carrying around large amounts of physical money;The app automatically tracks my expenses for me;Offers rewards, discounts, or cashback points;Necessary for online shopping and subscriptions"
2026/04/06 6:55:14 PM GMT+2,18–24,Male,Cash,More than 300 EGP,3 – 4 times,Always,"No, I spend more with physical cash",1 – 2 subscriptions,Helps me physically see what I am spending (better budget control),Safer than carrying around large amounts of physical money
2026/04/06 6:55:15 PM GMT+2,18–24,Male,Cash,50 – 100 EGP,1 – 2 times,Sometimes,"Yes, I spend more digitally",1 – 2 subscriptions,Helps me physically see what I am spending (better budget control);No extra transaction fees or hidden taxes;Safer from online fraud or hacking;I don't have to worry about network issues or system errors;Out of habit / I am just used to it,"More convenient and faster (no need to count change);Offers rewards, discounts, or cashback points;Necessary for online shopping and subscriptions"
2026/04/06 6:56:10 PM GMT+2,18–24,Male,Cash,201 – 300 EGP,3 – 4 times,Always,"No, I spend more with physical cash",0 (None),Helps me physically see what I am spending (better budget control);Accepted everywhere (including small kiosks and street vendors);No extra transaction fees or hidden taxes;Safer from online fraud or hacking;I don't have to worry about network issues or system errors;Out of habit / I am just used to it,"i dont pay with digital, now pay me with tea and molto"
2026/04/06 7:05:57 PM GMT+2,18–24,Male,"E-Wallet (e.g., Vodafone Cash, InstaPay)",Less than 50 EGP,1 – 2 times,Sometimes,"Yes, I spend more digitally",0 (None),I don't have to worry about network issues or system errors,"More convenient and faster (no need to count change);Offers rewards, discounts, or cashback points;I often don't have enough physical cash on me"
2026/04/06 7:36:40 PM GMT+2,18–24,Female,Debit/Credit Card,101 – 200 EGP,0 times (Never),Rarely,"Yes, I spend more digitally",1 – 2 subscriptions,No extra transaction fees or hidden taxes,The app automatically tracks my expenses for me
2026/04/06 7:41:35 PM GMT+2,18–24,Female,Cash,101 – 200 EGP,3 – 4 times,Sometimes,"No, I spend more with physical cash",0 (None),Helps me physically see what I am spending (better budget control);Accepted everywhere (including small kiosks and street vendors);Safer from online fraud or hacking;I don't have to worry about network issues or system errors;Out of habit / I am just used to it,"The app automatically tracks my expenses for me;Offers rewards, discounts, or cashback points;Easier to split bills with friends (e.g., InstaPay)"
2026/04/06 7:53:00 PM GMT+2,18–24,Male,Cash,50 – 100 EGP,0 times (Never),Sometimes,"No, I spend more with physical cash",0 (None),Helps me physically see what I am spending (better budget control);Accepted everywhere (including small kiosks and street vendors);Out of habit / I am just used to it,
